Key,English
goGameWorld,[FF4F00]Select 'Aircraft Carrier Challenge (biome)'[-]
goLootRespawnDays,Loot Respawn-[FF4F00]Select ANYTHING except 'Disabled'[-]
resourceCoalDesc,"A great fuel source and a core ingredient for gunpowder.\n\nCan be made from wood in a campfire"
resourceAcidDesc,A resource used in crafting recipes.\n\nCan be crafted in beaker at a campfire or at the chemistry station.
resourceBatteryAcid,Bottle of Acid
resourceBatteryAcidDesc,A resource used in crafting recipes.\n\nCan be extracted from a car battery at the chemistry station.
resourceAnimalFat,"Fat"
resourceAnimalFatDesc,"Fat can be eaten raw or used in cooking or other crafting recipes."
drugAntibioticsDT,Antibiotics
drugAntibioticsDTDesc,Antibiotics can cure infections.\n\nCan be crafted in a beaker at a campfire or at the chemistry station.
foodShepardsPie,Shepherd's Pie
foodShepardsPieDesc,"Shepherd's Pie sure is tasty and super filling.\n\nI just wish The Fun Pimps spelt it properly, so I didn't need to add this description..."

DishongLootContainerUtilityWorkerLoot,Duffle Bag
DishongLootContainerBusinessManLoot,Duffle Bag
DishongLootContainerPartyGirlLoot,Duffle Bag
DishongLootContainerWightFeralLoot,Duffle Bag
DishongLootContainerFatCopLoot,Duffle Bag
DishongLootContainerZombieMutatedLoot,Duffle Bag
DishongLootContainerJanitorLoot,Duffle Bag
DishongLootContainerSkateboarderLoot,Duffle Bag
DishongLootContainerSoldierLoot,Duffle Bag
DishongLootContainerZombieFemaleLoot,Duffle Bag
DishongLootContainerSteveAndTomLoot,Duffle Bag
DishongLootContainerZombieMaleLoot,Duffle Bag
DishongLootContainerFatZombieLoot,Duffle Bag
DishongLootContainerNurseLoot,Duffle Bag
DishongLootContainerLabWorkerLoot,Duffle Bag
DishongLootContainerMaleHazmatLoot,Duffle Bag
DishongLootContainerLumberjackLoot,Duffle Bag
DishongLootContainerBikerLoot,Duffle Bag
DishongLootContainerRadUtilityWorkerLoot,Duffle Bag
DishongLootContainerRadBusinessManLoot,Duffle Bag
DishongLootContainerRadPartyGirlLoot,Duffle Bag
DishongLootContainerRadWightFeralLoot,Duffle Bag
DishongLootContainerRadFatCopLoot,Duffle Bag
DishongLootContainerRadZombieMutatedLoot,Duffle Bag
DishongLootContainerRadJanitorLoot,Duffle Bag
DishongLootContainerRadSkateboarderLoot,Duffle Bag
DishongLootContainerRadSoldierLoot,Duffle Bag
DishongLootContainerRadZombieFemaleLoot,Duffle Bag
DishongLootContainerRadSteveAndTomLoot,Duffle Bag
DishongLootContainerRadZombieMaleLoot,Duffle Bag
DishongLootContainerRadFatZombieLoot,Duffle Bag
DishongLootContainerRadNurseLoot,Duffle Bag
DishongLootContainerRadLabWorkerLoot,Duffle Bag


perkGreaseMonkeyRank1Desc,Wheely good
perkGreaseMonkeyRank1LongDesc,Congratulations - you are now as smart as a primitive human!\n\nCraft wheels 33% cheaper.\n\nRepair kits are 10 percent more effective on vehicles.
perkGreaseMonkeyRank2Desc,Oil be back
perkGreaseMonkeyRank2LongDesc,"Not quite a fully-fledged grease monkey, but at least it's a start.\n\nRepair kits are 20 percent more effective on vehicles."
perkGreaseMonkeyRank3Desc,Life's a gas
perkGreaseMonkeyRank3LongDesc,Now you're starting to know your way around a toolbox!\n\nRepair kits are 30 percent more effective on vehicles.
perkGreaseMonkeyRank4Desc,Not very basic
perkGreaseMonkeyRank4LongDesc,"Your mechanical prowess is that of a professional pit crew!\n\nRepair kits are 40 percent more effective on vehicles."
perkGreaseMonkeyRank5Desc,At last!!
perkGreaseMonkeyRank5LongDesc,"You're a full-on aeronautical MacGyver.\nCraft UH-60 parts 33% cheaper.\n\nRepair kits are 50 percent more effective on vehicles."
vehiclesT1,Tier 1: Wheels
vehiclesT2,Tier 2: Oil
vehiclesT3,Tier 3: Gas Cans
vehiclesT4,Tier 4: Acid
vehiclesT5,Tier 5: Flight


harvestingToolsSkillMagazineDT,Tools Digest
repairToolsSkillMagazineDT,Handy Land
salvageToolsSkillMagazineDT,Scrapping 4 Fun
vehiclesSkillMagazineDT,Vehicle Adventures
workstationSkillMagazineDT,Forge Ahead
armorSkillMagazineDT,Armored Up
electricianSkillMagazineDT,Wiring 101
