Key,english
gunT0GrenadeLauncher,"Pipe Grenade Launcher"
gunT1GrenadeLauncher,"Double Barrel Grenade Launcher"
gunT2GrenadeLauncher,"Pump Grenade Launcher"
gunT3GrenadeLauncher,"Muli Grenade Launcher"
resourceGrenadeTip,"Grenade Tip"
resourceGrenadeCasing,"Grenade Casing"
40mmGAmmo,"40mm Grenade (Ammo)"
40mmGHEAmmo,"40mm HE Grenade (Ammo)"


modClothesInsulater,"Clothes Insulater"
modAdvClothesInsulater,"Adv Clothes Insulater"
modArmorAdvInsulatedLiner,"Adv Insulated Liner"
modArmorAdvCoolingMesh,"Adv Cooling Mesh"


